n,book_id,title,num_pages
66,10872085,"Only Time Will Tell (The Clifton Chronicles, #1)",400
187,10880532,Doodling,60
241,8979038,"Tiger, Tiger",336
266,11680487,"Urban Farm Handbook: City Slicker Resources for Growing, Raising, Sourcing, Trading, and Preparing What You Eat",288
381,10326288,Broetry Poetry for Dudes,128
578,13202093,"When We Were the Kennedys: A Memoir from Mexico, Maine",256
649,13167847,Most Talkative: Stories from the Front Lines of Pop Culture,304
674,12132930,"The Unwritten, Vol. 5: On to Genesis",144
1282,23214943,Apolonia,228
1290,20797535,"A Better World (Brilliance Saga, #2)",390
1312,18211295,"The Rhesus Chart (Laundry Files, #5)",384
1335,22442697,"Decker's Wood (Kink Harder Presents, #1)",253
1372,21424655,"Life, Animated: A Story of Sidekicks, Heroes, and Autism",384
1379,22381892,Killing Patton: The Strange Death of World War II's Most Audacious General,352
1393,21420139,Mission at Nuremberg: An American Army Chaplain and the Trial of the Nazis,416
1394,18310279,Fierce Patriot: The Tangled Lives of William Tecumseh Sherman,432
1403,23158207,How Google Works,320
1410,19173266,Write. Publish. Repeat. (The No-Luck-Required Guide to Self-Publishing Success),479
1429,20740509,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,192
1434,20691056,Plenty More: Vibrant Vegetable Cooking from London's Ottolenghi,352
1470,21852315,Jessica's Journal: A Book of Poetry,80
1565,19565411,Gaston,40
1642,24435364,"Yield the Night (Steel & Stone, #3)",278
1679,25400043,"Nemesis Games (Expanse, #5)",536
1706,24156733,"Extinction Horizon (The Extinction Cycle, #1)",368
1856,25052044,Bipolar Cowboy,124
1865,25410663,Naked Human,164
1874,24908399,"The Hurricane (The Hurricane, #1)",308
1974,25810398,The Association of Small Bombs,288
1976,31246481,Silver Threads (Memory House #5),278
2053,29382691,Stuck-Up Suit,334
2057,31345271,"Blackwing Dragon (Harper's Mountains, #5)",364
2087,25930352,"A Time of Torment (Charlie Parker, #14)",480
2088,32593030,Wicked Little Words,260
2095,29104144,"Extinction End (The Extinction Cycle, #5)",480
2202,28503835,EveryDayCook,256
2228,29812803,Black Panther #1 (Black Panther (2016) (Single Issues) #1),144
2247,29059581,Stuff Ive Been Feeling Lately,240
2250,30245389,Night Sky with Exit Wounds,70
2261,31115325,"Like a Boss (Like a Boss, #1)",152
2277,29559363,A Thousand Boy Kisses,352
2429,34040263,"The Land: Raiders (Chaos Seeds, #6)",780
2504,34947549,"Rhett & Link's Book of Mythicality: A Field Guide to Curiosity, Creativity, and Tomfoolery",272
2528,33965707,Unshakeable: Creating Peace of Mind In a World of Volatility,89
2529,35105799,No Is Not Enough: Resisting Trump's Shock Politics and Winning the World We Need,288
2630,36206433,Username: Uprising,192
2637,34753166,We Come Apart,336
2661,34484359,"The Coppersmith Farmhouse (Jamison Valley, #1)",374
2815,40629159,"The Land: Predators (Chaos Seed, #7)",1150
2835,39862558,Birthday Girl,407
2838,39086215,"Robbie (Confessions, #1)",284
2841,36395874,"Dr. Strange Beard (Winston Brothers, #5)",422
2868,34449265,The Passion of Cleopatra (Ramses the Damned #2),416
2908,40009804,"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, & Baking Biscuits",299
2919,40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,320
2966,40277241,Brief Answers to the Big Questions,352
2989,40006421,Cook Like a Pro: Recipes and Tips for Home Cooks,272
2999,38121211,"Skinnytaste One and Done: 140 No-Fuss Dinners for Your Instant PotÂ®, Slow Cooker, Air Fryer, Sheet Pan, Skillet, Dutch Oven, and More: 140 No-Fuss Dinners Sheet Pan, Skillet, Dutch Oven, and More",304
3035,34594981,Helium,112
3068,34325090,I Was Born for This,401
3122,40524608,Lulu is a Rhinoceros,40
3200,44419612,A Woman First: First Woman: A Memoir,224
3257,43849324,Rachael Ray 50: Memories and Meals from a Sweet and Savory Life,321
3264,38452813,Teen Titans: Raven,192
3314,42616620,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,144
